orifice_d_m,Vc_m3,Cd,muzzle_v,impulse,t_end_s,peak_F
0.006,0.0005,0.6,9.217577561146415,9.217577561146415,0.0811000000000013,3117.7289099868062
0.006,0.0005,0.7,10.760466469265841,10.760466469265841,0.07120000000000101,3258.980087678177
0.006,0.0005,0.8,12.317582588038848,12.317582588038848,0.0640000000000008,3384.1798049896547
0.006,0.0008,0.6,9.19409640842045,9.19409640842045,0.0812000000000013,3119.5757625235224
0.006,0.0008,0.7,10.724727707300207,10.724727707300207,0.07130000000000102,3261.6279551700954
0.006,0.0008,0.8,12.269821036285537,12.269821036285537,0.06410000000000081,3386.892932425901
0.006,0.001,0.6,9.18588659713275,9.18588659713275,0.0812000000000013,3120.1913025712875
0.006,0.001,0.7,10.71172525466173,10.71172525466173,0.07130000000000102,3262.510524219978
0.006,0.001,0.8,12.251134484845004,12.251134484845004,0.06410000000000081,3387.796619579784
0.006,0.0012,0.6,9.180330748909933,9.180330748909933,0.0813000000000013,3120.601641118619
0.006,0.0012,0.7,10.702816521144182,10.702816521144182,0.07140000000000102,3263.0988886459177
0.006,0.0012,0.8,12.238086610339694,12.238086610339694,0.06410000000000081,3388.398887228292
0.008,0.0005,0.6,16.276460288159424,16.276460288159424,0.05260000000000048,3640.909629013636
0.008,0.0005,0.7,18.42835124174001,18.42835124174001,0.04810000000000035,3648.370366359568
0.008,0.0005,0.8,20.2719064747093,20.2719064747093,0.044800000000000256,3951.4807635176603
0.008,0.0008,0.6,16.286138278663056,16.286138278663056,0.052400000000000474,3644.0615700006197
0.008,0.0008,0.7,18.5156359618703,18.5156359618703,0.047900000000000345,3651.8738113510303
0.008,0.0008,0.8,20.43578017743781,20.43578017743781,0.04460000000000025,3952.798803138482
0.008,0.001,0.6,16.27986479778778,16.27986479778778,0.052400000000000474,3645.1107064667513
0.008,0.001,0.7,18.5326796812173,18.5326796812173,0.04780000000000034,3653.0399876917145
0.008,0.001,0.8,20.477740795135517,20.477740795135517,0.04450000000000025,3953.2379117992423
0.008,0.0012,0.6,16.27233197071044,16.27233197071044,0.052400000000000474,3645.809713232029
0.008,0.0012,0.7,18.54421554045756,18.54421554045756,0.04780000000000034,3653.8169855430915
0.008,0.0012,0.8,20.50000057385016,20.50000057385016,0.044400000000000245,3953.5305849014335
0.01,0.0005,0.6,22.44340042404108,22.44340042404108,0.04150000000000016,4381.117041008431
0.01,0.0005,0.7,24.53184407068731,24.53184407068731,0.038800000000000084,4541.19164098856
0.01,0.0005,0.8,26.33503492509718,26.33503492509718,0.03690000000000003,4194.465750010196
0.01,0.0008,0.6,22.699801342710348,22.699801342710348,0.04120000000000015,4383.484339908438
0.01,0.0008,0.7,24.903453635687875,24.903453635687875,0.038500000000000076,4546.0543418999905
0.01,0.0008,0.8,26.804250493816454,26.804250493816454,0.03650000000000002,4184.17602245757
0.01,0.001,0.6,22.77579205511984,22.77579205511984,0.04110000000000015,4384.272752770799
0.01,0.001,0.7,25.01855894671603,25.01855894671603,0.03840000000000007,4547.672225161297
0.01,0.001,0.8,26.9592833414415,26.9592833414415,0.036400000000000016,4180.759244832195
0.01,0.0012,0.6,22.83183502018888,22.83183502018888,0.04110000000000015,4384.798170924692
0.01,0.0012,0.7,25.086810967817055,25.086810967817055,0.03830000000000007,4548.749979362483
0.01,0.0012,0.8,27.052826577808535,27.052826577808535,0.03630000000000001,4178.484779271364
0.012,0.0005,0.6,27.341555512895415,27.341555512895415,0.0358,4341.406995359841
0.012,0.0005,0.7,29.358278517928355,29.358278517928355,0.03399999999999995,4535.7124853078985
0.012,0.0005,0.8,31.033332062884224,31.033332062884224,0.03259999999999991,4752.7380702840765
0.012,0.0008,0.6,27.883518463619243,27.883518463619243,0.03539999999999999,4351.165428027435
0.012,0.0008,0.7,30.043723252614818,30.043723252614818,0.03349999999999993,4543.860208586936
0.012,0.0008,0.8,31.894123062986708,31.894123062986708,0.03209999999999989,4752.7380702840765
0.012,0.001,0.6,28.06429361535684,28.06429361535684,0.035299999999999984,4354.403478335414
0.012,0.001,0.7,30.284603944910852,30.284603944910852,0.03339999999999993,4546.567750607669
0.012,0.001,0.8,32.16224351839755,32.16224351839755,0.03189999999999989,4752.7380702840765
0.012,0.0012,0.6,28.174206550403795,28.174206550403795,0.03519999999999998,4356.55812078142
0.012,0.0012,0.7,30.432977588207766,30.432977588207766,0.03329999999999993,4548.370471175464
0.012,0.0012,0.8,32.35060568653731,32.35060568653731,0.031799999999999884,4752.7380702840765
0.015,0.0005,0.6,32.90323122913702,32.90323122913702,0.031099999999999867,5569.677287848924
0.015,0.0005,0.7,34.57402854509649,34.57402854509649,0.029999999999999874,6498.017307808979
0.015,0.0005,0.8,35.83259605451611,35.83259605451611,0.02919999999999988,7426.357327769036
0.015,0.0008,0.6,34.023058782982716,34.023058782982716,0.03059999999999987,5569.677287848924
0.015,0.0008,0.7,35.96128267126508,35.96128267126508,0.029299999999999878,6498.017307808979
0.015,0.0008,0.8,37.555897662792276,37.555897662792276,0.028399999999999884,7426.357327769036
0.015,0.001,0.6,34.37570793466659,34.37570793466659,0.03039999999999987,5569.677287848924
0.015,0.001,0.7,36.4191721050837,36.4191721050837,0.02909999999999988,6498.017307808979
0.015,0.001,0.8,38.13695665708996,38.13695665708996,0.028199999999999885,7426.357327769036
0.015,0.0012,0.6,34.62316258218526,34.62316258218526,0.030299999999999872,5569.677287848924
0.015,0.0012,0.7,36.73913598768742,36.73913598768742,0.02899999999999988,6498.017307808979
0.015,0.0012,0.8,38.47865490132811,38.47865490132811,0.027999999999999886,7426.357327769036
0.018,0.0005,0.6,36.43847337126121,36.43847337126121,0.028699999999999882,8020.494940543471
0.018,0.0005,0.7,37.55804134232399,37.55804134232399,0.027999999999999886,9357.304569285947
0.018,0.0005,0.8,38.307600282677335,38.307600282677335,0.02739999999999989,10694.11419802843
0.018,0.0008,0.6,38.392800371884945,38.392800371884945,0.027899999999999887,8020.494940543471
